GENESIS-Tabelle: 21311-0003
Students: Germany, semester, nationality, sex, subject;;;;;;;;;;;
Statistics of students;;;;;;;;;;;
Germany;;;;;;;;;;;
Students (number);;;;;;;;;;;
;;;Germans;Germans;Germans;Foreigners;Foreigners;Foreigners;Total;Total;Total
;;;Male;Female;Total;Male;Female;Total;Male;Female;Total
WT 2020/21;SF230;Singing;282;484;766;290;416;706;572;900;1472
WT 2020/21;SF068;History;17997;13832;31829;1268;1426;2694;19265;15258;34523
WT 2020/21;SF195;Health Education;1082;4416;5498;36;162;198;1118;4578;5696
WT 2020/21;SF215;Health Technology;4995;4980;9975;2131;1582;3713;7126;6562;13688
WT 2020/21;SF232;Health Science/Health Management;9576;26867;36443;982;2398;3380;10558;29265;39823
WT 2020/21;SF216;Glass Technology/Ceramics;112;42;154;14;13;27;126;55;181
WT 2020/21;SF069;Graphic Design/Communication Design;6886;12783;19669;1178;2376;3554;8064;15159;23223
WT 2020/21;SF070;Greek;168;161;329;45;50;95;213;211;424
WT 2020/21;SF115;Primary School Education/Primary Level Education;1511;8099;9610;44;202;246;1555;8301;9856
WT 2020/21;SF071;Domestic and Nutritional Sciences;1319;5846;7165;170;436;606;1489;6282;7771
WT 2020/21;SF333;Domestic Science;43;138;181;1;1;2;44;139;183
WT 2020/21;SF082;Wood and Fibre Technology;719;153;872;34;9;43;753;162;915
WT 2020/21;SF197;Timber Construction;590;132;722;25;8;33;615;140;755
WT 2020/21;SF075;Wood Science;173;36;209;28;21;49;201;57;258
WT 2020/21;SF076;Metallurgy and Foundry;409;113;522;297;116;413;706;229;935
WT 2020/21;SF078;Indology;42;80;122;19;20;39;61;100;161
WT 2020/21;SF203;Industrial Design/Product Design;1840;1731;3571;296;402;698;2136;2133;4269
WT 2020/21;SF079;Computer Science;87429;18338;105767;20601;7397;27998;108030;25735;133765
WT 2020/21;SF022;Inf./Library Scien. (not at univ. of app.adm.sci.);589;1955;2544;42;133;175;631;2088;2719
WT 2020/21;SF123;Computational Engineer./Technical Computer Science;9706;1550;11256;3235;907;4142;12941;2457;15398
WT 2020/21;SF242;Interior Architecture;383;2919;3302;86;362;448;469;3281;3750
WT 2020/21;SF261;Internal Administration;2506;4894;7400;17;54;71;2523;4948;7471
WT 2020/21;SF080;Instrumental Music;1314;1254;2568;2099;2549;4648;3413;3803;7216
WT 2020/21;SF072;Interdisc. Studies (specialising in Engineering);11017;4080;15097;2837;1085;3922;13854;5165;19019
WT 2020/21;SF049;Interdisc. Studies (special. in Natural Sciences);3335;3531;6866;1123;1033;2156;4458;4564;9022
WT 2020/21;SF030;Interdisc. St. (spec. in Law, Econ. and Soc. Sci.);6360;8362;14722;1043;1558;2601;7403;9920;17323
WT 2020/21;SF004;Interdisc. Studies (spec. in Humanities);5214;13021;18235;953;2435;3388;6167;15456;21623
WT 2020/21;SF040;Interdisc. Studies (special. in Art, Art Theory);277;606;883;113;161;274;390;767;1157
WT 2020/21;SF182;International Business Studies/Management;16855;21059;37914;6195;6850;13045;23050;27909;50959
WT 2020/21;SF081;Iranian Studies;69;64;133;37;41;78;106;105;211
WT 2020/21;SF292;Islamic Studies/Islamic theology;317;506;823;102;118;220;419;624;1043
WT 2020/21;SF083;Islamic Studies;370;807;1177;153;180;333;523;987;1510
WT 2020/21;SF084;Italian;212;574;786;75;296;371;287;870;1157
WT 2020/21;SF085;Japanese Studies;1418;1794;3212;144;280;424;1562;2074;3636
WT 2020/21;SF164;Jazz and Popular Music;960;358;1318;172;63;235;1132;421;1553
WT 2020/21;SF252;Journalism (classified with SF303 since 2008);-;-;-;-;-;-;-;-;-
WT 2020/21;SF073;Judaic Studies/Hebrew;185;296;481;42;61;103;227;357;584
WT 2020/21;SF168;Law Enforcement;94;114;208;-;-;-;94;114;208
WT 2020/21;SF280;Cartography;172;72;244;82;63;145;254;135;389
WT 2020/21;SF545;Catholic Religious Pedagogy, Church Educat. Work;119;274;393;61;96;157;180;370;550
WT 2020/21;SF086;Catholic Theology, Catholic Religious Education;2767;3710;6477;429;165;594;3196;3875;7071
WT 2020/21;SF180;Caucasian Studies;-;-;-;-;2;2;-;2;2
WT 2020/21;SF241;Nucl.Techn./Nucl.Process Techn.(cl.w.SF211 s.2020);-;-;-;-;-;-;-;-;-
