GENESIS-Tabelle: 21311-0003
Students: Germany, semester, nationality, sex, subject;;;;;;;;;;;
Statistics of students;;;;;;;;;;;
Germany;;;;;;;;;;;
Students (number);;;;;;;;;;;
;;;Germans;Germans;Germans;Foreigners;Foreigners;Foreigners;Total;Total;Total
;;;Male;Female;Total;Male;Female;Total;Male;Female;Total
WT 2022/23;SF258;Labour Administration;297;633;930;6;7;13;303;640;943
WT 2022/23;SF012;Archaeology;2589;2992;5581;196;307;503;2785;3299;6084
WT 2022/23;SF390;Archaeometry (Archaeological Engineering);18;10;28;2;3;5;20;13;33
WT 2022/23;SF013;Architecture;14682;19261;33943;3095;4671;7766;17777;23932;41709
WT 2022/23;SF037;Archive and Documentation Science;141;264;405;16;43;59;157;307;464
WT 2022/23;SF255;Archive Studies;170;210;380;4;4;8;174;214;388
WT 2022/23;SF187;Asian Languages and Cultures/Asian Studies;398;939;1337;228;458;686;626;1397;2023
WT 2022/23;SF014;Astrophysics and Astronomy;184;77;261;251;146;397;435;223;658
WT 2022/23;SF143;Ophthalmic Optics;234;516;750;22;59;81;256;575;831
WT 2022/23;SF117;Immigrant Education;14;101;115;30;57;87;44;158;202
WT 2022/23;SF015;Non-Europ. Lang. and Cult. in Oceania and America;61;102;163;25;57;82;86;159;245
WT 2022/23;SF259;Foreign Affairs Administration;130;149;279;3;-;3;133;149;282
WT 2022/23;SF016;Baltic Studies;2;6;8;-;3;3;2;9;11
WT 2022/23;SF265;Banking;463;302;765;14;17;31;477;319;796
WT 2022/23;SF017;Civil Engineering/Structural Engineering;32134;13958;46092;8464;3332;11796;40598;17290;57888
WT 2022/23;SF020;Mining/Mine Engineering;672;216;888;806;264;1070;1478;480;1958
WT 2022/23;SF018;Occupation-specific Foreign Language Training;361;743;1104;90;172;262;451;915;1366
WT 2022/23;SF270;Vocational, Business and Economics Education;729;1326;2055;82;105;187;811;1431;2242
WT 2022/23;SF021;Business Administration;110763;93471;204234;16283;17064;33347;127046;110535;237581
WT 2022/23;SF262;Librarianship;15;37;52;-;1;1;15;38;53
WT 2022/23;SF023;Fine Arts/Graphics;1145;1666;2811;450;874;1324;1595;2540;4135
WT 2022/23;SF205;Sculpting/Statuary Art;99;163;262;74;109;183;173;272;445
WT 2022/23;SF025;Biochemistry;2927;4304;7231;653;1147;1800;3580;5451;9031
WT 2022/23;SF221;Bioinformatics;1214;860;2074;376;451;827;1590;1311;2901
WT 2022/23;SF026;Biology;16523;31511;48034;2965;5755;8720;19488;37266;56754
WT 2022/23;SF300;Biomedicine;541;1583;2124;308;511;819;849;2094;2943
WT 2022/23;SF282;Biotechnology;4365;6014;10379;1256;1930;3186;5621;7944;13565
WT 2022/23;SF027;Ed.of Blind a.Visually Imp.(cl.w.SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2022/23;SF028;Brewing Science/Beverage Technology;439;110;549;60;20;80;499;130;629
WT 2022/23;SF260;Armed Forces Administration;212;308;520;-;-;-;212;308;520
WT 2022/23;SF031;Byzantine Studies;4;12;16;18;8;26;22;20;42
WT 2022/23;SF162;Caritas Science;22;62;84;8;6;14;30;68;98
WT 2022/23;SF032;Chemistry;19871;13995;33866;3245;3709;6954;23116;17704;40820
WT 2022/23;SF033;Chemical Engineering/Chemical Process Technology;4365;2306;6671;1087;859;1946;5452;3165;8617
WT 2022/23;SF160;Computer Linguistics;696;623;1319;339;598;937;1035;1221;2256
WT 2022/23;SF200;Computer and Communication Technology;3243;2006;5249;858;559;1417;4101;2565;6666
WT 2022/23;SF034;Danish;20;54;74;-;1;1;20;55;75
WT 2022/23;SF035;Performing Arts/Stagecraft/Directing;383;903;1286;126;330;456;509;1233;1742
WT 2022/23;SF271;German as a Foreign or Second Language;378;2080;2458;359;1251;1610;737;3331;4068
WT 2022/23;SF161;Pastoral Care Studies;95;136;231;14;18;32;109;154;263
WT 2022/23;SF192;Conducting;116;56;172;97;83;180;213;139;352
WT 2022/23;SF231;Printing and Reproduction Technology;567;757;1324;106;94;200;673;851;1524
WT 2022/23;SF159;Gemstone and Jewellery Design;8;23;31;9;33;42;17;56;73
WT 2022/23;SF316;Electrical Power Engineering;1108;198;1306;482;147;629;1590;345;1935
WT 2022/23;SF048;Electrical Engineering/Electronics;35501;4552;40053;18067;4755;22822;53568;9307;62875
WT 2022/23;SF211;Energy Process Engineering;3627;894;4521;1080;333;1413;4707;1227;5934
WT 2022/23;SF320;Nutritional Science;1066;5154;6220;154;740;894;1220;5894;7114
WT 2022/23;SF321;Adult Education and Extracurricular Youth Educat.;544;1838;2382;27;131;158;571;1969;2540
WT 2022/23;SF051;Ed.of People w.Emot.Diff. (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2022/23;SF052;Educational Science (Pedagogy);12361;44034;56395;785;3461;4246;13146;47495;60641
WT 2022/23;SF169;Ethics;358;829;1187;45;85;130;403;914;1317
WT 2022/23;SF173;Ethnology;852;2197;3049;280;445;725;1132;2642;3774
WT 2022/23;SF024;European Ethnology and Cultural Studies;742;2186;2928;213;457;670;955;2643;3598
WT 2022/23;SF167;European Economic Studies;792;959;1751;168;209;377;960;1168;2128
WT 2022/23;SF544;Protestant Religious Pedagogy, Church Educat. Work;195;431;626;4;9;13;199;440;639
WT 2022/23;SF053;Protestant Theology, Protes. Religious Education;3422;5097;8519;354;219;573;3776;5316;9092
WT 2022/23;SF464;Facility Management;2104;1384;3488;95;70;165;2199;1454;3653
WT 2022/23;SF235;Automotive Technology;8140;597;8737;2605;258;2863;10745;855;11600
WT 2022/23;SF212;Precision Engineering;464;52;516;85;31;116;549;83;632
WT 2022/23;SF202;Manufacturing Technology/Production Engineering;3309;551;3860;1314;273;1587;4623;824;5447
WT 2022/23;SF054;Film and Television Studies;1280;1047;2327;237;307;544;1517;1354;2871
WT 2022/23;SF266;Financial Administration;937;1251;2188;5;5;10;942;1256;2198
WT 2022/23;SF056;Finno-Ugrian Studies;42;69;111;3;7;10;45;76;121
WT 2022/23;SF058;Forest Science, Forestry;3685;2120;5805;468;362;830;4153;2482;6635
WT 2022/23;SF059;French;808;3317;4125;161;499;660;969;3816;4785
WT 2022/23;SF019-07;Frisian (deleted in 2007);-;-;-;-;-;-;-;-;-
WT 2022/23;SF060;Horticulture;1086;863;1949;79;73;152;1165;936;2101
WT 2022/23;SF062;Ed.of Deaf a.Hearing Imp. (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2022/23;SF063;Ed.Ment.Disabl./Pract.Work(cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2022/23;SF050;Geography;9775;10322;20097;576;639;1215;10351;10961;21312
WT 2022/23;SF065;Geology/Palaeontology;166;140;306;75;53;128;241;193;434
WT 2022/23;SF385;Geoecology;518;648;1166;61;80;141;579;728;1307
WT 2022/23;SF066;Geophysics;867;843;1710;120;110;230;987;953;1940
WT 2022/23;SF039;Geosciences general;4580;3610;8190;1048;735;1783;5628;4345;9973
WT 2022/23;SF067;German Studies/German;12764;47246;60010;1136;4349;5485;13900;51595;65495
WT 2022/23;SF230;Singing;251;409;660;276;396;672;527;805;1332
WT 2022/23;SF068;History;17298;13145;30443;1302;1342;2644;18600;14487;33087
WT 2022/23;SF195;Health Education;1354;5148;6502;52;206;258;1406;5354;6760
WT 2022/23;SF215;Health Technology;4657;4782;9439;2505;2046;4551;7162;6828;13990
WT 2022/23;SF232;Health Science/Health Management;9445;26685;36130;988;2674;3662;10433;29359;39792
WT 2022/23;SF216;Glass Technology/Ceramics;72;37;109;10;8;18;82;45;127
WT 2022/23;SF069;Graphic Design/Communication Design;7603;14847;22450;1464;3039;4503;9067;17886;26953
WT 2022/23;SF070;Greek;159;138;297;41;36;77;200;174;374
WT 2022/23;SF115;Primary School Education/Primary Level Education;1622;8205;9827;28;195;223;1650;8400;10050
WT 2022/23;SF071;Domestic and Nutritional Sciences;1199;5115;6314;191;442;633;1390;5557;6947
WT 2022/23;SF333;Domestic Science;34;120;154;1;1;2;35;121;156
WT 2022/23;SF082;Wood and Fibre Technology;627;115;742;34;5;39;661;120;781
WT 2022/23;SF197;Timber Construction;508;99;607;19;6;25;527;105;632
WT 2022/23;SF075;Wood Science;135;23;158;34;18;52;169;41;210
WT 2022/23;SF076;Metallurgy and Foundry;315;87;402;217;79;296;532;166;698
WT 2022/23;SF078;Indology;35;67;102;19;30;49;54;97;151
WT 2022/23;SF203;Industrial Design/Product Design;1806;1744;3550;319;444;763;2125;2188;4313
WT 2022/23;SF079;Computer Science;90141;18486;108627;25422;9533;34955;115563;28019;143582
WT 2022/23;SF022;Inf./Library Scien. (not at univ. of app.adm.sci.);832;1913;2745;62;133;195;894;2046;2940
WT 2022/23;SF123;Computational Engineer./Technical Computer Science;9696;1657;11353;3794;1140;4934;13490;2797;16287
WT 2022/23;SF242;Interior Architecture;471;3663;4134;90;523;613;561;4186;4747
WT 2022/23;SF261;Internal Administration;2469;5024;7493;18;46;64;2487;5070;7557
WT 2022/23;SF080;Instrumental Music;1206;1085;2291;2126;2511;4637;3332;3596;6928
WT 2022/23;SF072;Interdisc. Studies (specialising in Engineering);11260;3942;15202;3575;1422;4997;14835;5364;20199
WT 2022/23;SF049;Interdisc. Studies (special. in Natural Sciences);3312;3593;6905;1658;1454;3112;4970;5047;10017
WT 2022/23;SF030;Interdisc. St. (spec. in Law, Econ. and Soc. Sci.);6586;8005;14591;1230;1797;3027;7816;9802;17618
WT 2022/23;SF004;Interdisc. Studies (spec. in Humanities);4955;11718;16673;1157;2778;3935;6112;14496;20608
WT 2022/23;SF040;Interdisc. Studies (special. in Art, Art Theory);251;602;853;186;254;440;437;856;1293
WT 2022/23;SF182;International Business Studies/Management;15371;19118;34489;7425;8064;15489;22796;27182;49978
WT 2022/23;SF081;Iranian Studies;53;62;115;44;54;98;97;116;213
WT 2022/23;SF292;Islamic Studies/Islamic theology;373;485;858;120;104;224;493;589;1082
WT 2022/23;SF083;Islamic Studies;302;634;936;130;136;266;432;770;1202
WT 2022/23;SF084;Italian;200;505;705;73;282;355;273;787;1060
WT 2022/23;SF085;Japanese Studies;1235;1538;2773;154;274;428;1389;1812;3201
WT 2022/23;SF164;Jazz and Popular Music;930;347;1277;187;75;262;1117;422;1539
WT 2022/23;SF252;Journalism (classified with SF303 since 2008);-;-;-;-;-;-;-;-;-
WT 2022/23;SF073;Judaic Studies/Hebrew;167;245;412;43;68;111;210;313;523
WT 2022/23;SF168;Law Enforcement;67;108;175;-;-;-;67;108;175
WT 2022/23;SF280;Cartography;113;72;185;64;44;108;177;116;293
WT 2022/23;SF545;Catholic Religious Pedagogy, Church Educat. Work;118;223;341;63;90;153;181;313;494
WT 2022/23;SF086;Catholic Theology, Catholic Religious Education;2390;3233;5623;392;151;543;2782;3384;6166
WT 2022/23;SF180;Caucasian Studies;3;1;4;-;4;4;3;5;8
WT 2022/23;SF241;Nucl.Techn./Nucl.Process Techn.(cl.w.SF211 s.2020);-;-;-;-;-;-;-;-;-
WT 2022/23;SF193;Church Music;285;115;400;37;46;83;322;161;483
WT 2022/23;SF005;Classical Philology;130;162;292;29;32;61;159;194;353
WT 2022/23;SF222;Communication Technology, Information Engineering;4106;626;4732;2304;824;3128;6410;1450;7860
WT 2022/23;SF303;Communication Science/Journalism;4650;11715;16365;410;1158;1568;5060;12873;17933
WT 2022/23;SF191;Composition;150;34;184;147;122;269;297;156;453
WT 2022/23;SF087;Ed.of Physically Disabled (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2022/23;SF047;Nursing Education (classif. with SF234 since 2004);-;-;-;-;-;-;-;-;-
WT 2022/23;SF091;Arts Education;961;4624;5585;107;448;555;1068;5072;6140
WT 2022/23;SF092;Art History, Art Theory;1960;7368;9328;219;1010;1229;2179;8378;10557
WT 2022/23;SF219;Plastics Technology;523;124;647;75;25;100;598;149;747
WT 2022/23;SF093;Land Management Engineering/Landscape Design;2007;2889;4896;110;253;363;2117;3142;5259
WT 2022/23;SF283;Landscape Ecology/Biogeography (ex. SF385 s. 2012);495;742;1237;27;38;65;522;780;1302
WT 2022/23;SF095;Latin;707;944;1651;33;41;74;740;985;1725
WT 2022/23;SF038;Latin America Studies;96;208;304;51;94;145;147;302;449
WT 2022/23;SF096;Food Chemistry;640;1360;2000;62;151;213;702;1511;2213
WT 2022/23;SF097;Food Technology;1362;1708;3070;152;298;450;1514;2006;3520
WT 2022/23;SF099;Ed. of P.w.Learning Diff. (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2022/23;SF090;Area of study: Humanities;1302;7230;8532;60;193;253;1362;7423;8785
WT 2022/23;SF154;Area of study: Social Studies;196;228;424;5;1;6;201;229;430
WT 2022/23;SF186;Area of study: Natural Sciences/General Studies;930;3897;4827;19;89;108;949;3986;4935
WT 2022/23;SF199;Area of study: Technology;629;266;895;12;10;22;641;276;917
WT 2022/23;SF057;Aeronautical and Aerospace Engineering;5169;781;5950;1249;340;1589;6418;1121;7539
WT 2022/23;SF204;Painting;216;315;531;77;149;226;293;464;757
WT 2022/23;SF198;Health a. Soc. Care Man. (cl. w. SF232 since 2004);-;-;-;-;-;-;-;-;-
WT 2022/23;SF103;Mine Surveying;18;12;30;7;4;11;25;16;41
WT 2022/23;SF104;Mechanical Engineering;58624;8133;66757;17725;3267;20992;76349;11400;87749
WT 2022/23;SF294;Materials Engineering;997;359;1356;596;325;921;1593;684;2277
WT 2022/23;SF237;Math.Statistics/Prob.Calc. (class.w. SF312 s.2020);-;-;-;-;-;-;-;-;-
WT 2022/23;SF105;Mathematics;25036;24595;49631;3686;2556;6242;28722;27151;55873
WT 2022/23;SF380;Mechatronics;10351;1067;11418;6047;877;6924;16398;1944;18342
WT 2022/23;SF121;Media Informatics;10167;5322;15489;1384;1040;2424;11551;6362;17913
WT 2022/23;SF133;Media St./Com./Info. Sc. (cl. w. SF303 since 2008);-;-;-;-;-;-;-;-;-
WT 2022/23;SF305;Media Technology;4416;3096;7512;428;280;708;4844;3376;8220
WT 2022/23;SF304;Media Economics/Media Management;4160;7346;11506;423;921;1344;4583;8267;12850
WT 2022/23;SF302;Media Science;3734;8659;12393;405;1026;1431;4139;9685;13824
WT 2022/23;SF107;Medicine (General Medicine);32908;61452;94360;5625;8145;13770;38533;69597;108130
WT 2022/23;SF247;Medical Informatics;1392;1135;2527;561;595;1156;1953;1730;3683
WT 2022/23;SF061;Ground Improvement;-;-;-;-;-;-;-;-;-
WT 2022/23;SF108;Metals Technology;563;101;664;6;5;11;569;106;675
WT 2022/23;SF110;Meteorology;550;415;965;98;85;183;648;500;1148
WT 2022/23;SF157;Microelectronics;136;42;178;631;258;889;767;300;1067
WT 2022/23;SF286;Microsystems Technology;936;182;1118;1068;290;1358;2004;472;2476
WT 2022/23;SF220;Dairy Farming;25;21;46;5;17;22;30;38;68
WT 2022/23;SF111;Mineralogy;98;41;139;48;21;69;146;62;208
WT 2022/23;SF273;Medieval and Modern History;366;299;665;32;38;70;398;337;735
WT 2022/23;SF113;Music Education;3297;4141;7438;294;644;938;3591;4785;8376
WT 2022/23;SF114;Musicology/History of Music;1693;1914;3607;289;539;828;1982;2453;4435
WT 2022/23;SF064;Nature Conservation;410;712;1122;181;262;443;591;974;1565
WT 2022/23;SF223;Nautical Science/Maritime Studies;620;165;785;207;36;243;827;201;1028
WT 2022/23;SF287;New Media;1145;1454;2599;258;317;575;1403;1771;3174
WT 2022/23;SF043;Modern Greek;14;22;36;13;49;62;27;71;98
WT 2022/23;SF233;Non-medical Healthcare Professions/Therapies;2732;12823;15555;220;761;981;2952;13584;16536
WT 2022/23;SF189;Low German;1;5;6;-;-;-;1;5;6
WT 2022/23;SF119;Dutch;96;185;281;13;19;32;109;204;313
WT 2022/23;SF120;Nordic/Scand. St. (Nord. Phil., ind. lang. n.e.c.);293;741;1034;22;49;71;315;790;1105
WT 2022/23;SF088;Optoelectronics;279;112;391;104;34;138;383;146;529
WT 2022/23;SF165;Orchestral Music;300;294;594;494;647;1141;794;941;1735
WT 2022/23;SF122;Oriental Studies, Ancient Oriental Studies;351;530;881;132;137;269;483;667;1150
WT 2022/23;SF055;Orientation studies in social sciences;-;-;-;-;-;-;-;-;-
WT 2022/23;SF019;MINT orientation studies;3;2;5;-;-;-;3;2;5
WT 2022/23;SF044;Eastern and South Eastern Europe Studies;123;186;309;40;89;129;163;275;438
WT 2022/23;SF124;Oceanography;3;3;6;9;5;14;12;8;20
WT 2022/23;SF365;Early Childhood Education;402;3197;3599;23;241;264;425;3438;3863
WT 2022/23;SF353;Plant Production;343;323;666;29;22;51;372;345;717
WT 2022/23;SF234;Nursing Science/Nursing Management;3181;9972;13153;201;660;861;3382;10632;14014
WT 2022/23;SF126;Pharmacy;3946;9219;13165;903;1996;2899;4849;11215;16064
WT 2022/23;SF127;Philosophy;8902;7444;16346;1216;1153;2369;10118;8597;18715
WT 2022/23;SF128;Physics;28220;11698;39918;5806;2893;8699;34026;14591;48617
WT 2022/23;SF224;Engineering Physics/Mechanical Process Engineering;1637;472;2109;736;162;898;2373;634;3007
WT 2022/23;SF129;Political Science;14958;12378;27336;2168;2839;5007;17126;15217;32343
WT 2022/23;SF263;Police/Protection of the Constitution;15858;9436;25294;182;96;278;16040;9532;25572
WT 2022/23;SF206;Polish;20;27;47;5;15;20;25;42;67
WT 2022/23;SF131;Portuguese;26;43;69;8;20;28;34;63;97
WT 2022/23;SF132;Psychology;24802;77085;101887;2035;6980;9015;26837;84065;110902
WT 2022/23;SF109;Communication Studies (cl. with SF303 since 2008);-;-;-;-;-;-;-;-;-
WT 2022/23;SF134;Spatial Planning;2468;2486;4954;532;862;1394;3000;3348;6348
WT 2022/23;SF256;Administration of Justice;643;2404;3047;-;2;2;643;2406;3049
WT 2022/23;SF135;Law;45433;61809;107242;3279;6162;9441;48712;67971;116683
WT 2022/23;SF310;Renewable Energy;2021;670;2691;1037;264;1301;3058;934;3992
WT 2022/23;SF136;Religious Studies;473;806;1279;157;165;322;630;971;1601
WT 2022/23;SF101;Restoration Studies;147;586;733;11;49;60;158;635;793
WT 2022/23;SF163;Rhythmics;1;7;8;1;8;9;2;15;17
WT 2022/23;SF137;Romance Studies (Rom. Phil., indiv. lang. n.e.c.);483;1399;1882;177;563;740;660;1962;2622
WT 2022/23;SF139;Russian;153;319;472;27;173;200;180;492;672
WT 2022/23;SF254;General Studies (including School Garden);210;1127;1337;13;57;70;223;1184;1407
WT 2022/23;SF102;Drama Studies;225;278;503;62;96;158;287;374;661
WT 2022/23;SF142;Naval Architecture/Ship Technology;528;87;615;228;47;275;756;134;890
WT 2022/23;SF361;School Pedagogy;152;305;457;23;49;72;175;354;529
WT 2022/23;SF145;Sinology/Korean Studies;806;1781;2587;213;561;774;1019;2342;3361
WT 2022/23;SF146;Slavic Studies (Slavic Philology);323;580;903;150;380;530;473;960;1433
WT 2022/23;SF190;Special Needs Education;3090;14837;17927;58;334;392;3148;15171;18319
WT 2022/23;SF290;Other subjects;921;1434;2355;774;942;1716;1695;2376;4071
WT 2022/23;SF036;Other regional studies;119;226;345;32;115;147;151;341;492
WT 2022/23;SF041;Other orientation studies;34;15;49;15;16;31;49;31;80
WT 2022/23;SF207;Sorabistics;5;17;22;2;5;7;7;22;29
WT 2022/23;SF208;Social Work;18073;60770;78843;1245;3963;5208;19318;64733;84051
WT 2022/23;SF147;Social Studies;1883;1876;3759;111;118;229;1994;1994;3988
WT 2022/23;SF046;Soc. Med./Pub. Health (cl. with SF232 since 2004);-;-;-;-;-;-;-;-;-
WT 2022/23;SF245;Social Pedagogy;2163;9617;11780;62;420;482;2225;10037;12262
WT 2022/23;SF264;Social Security Administration;767;1830;2597;61;72;133;828;1902;2730
WT 2022/23;SF253;Applied Social Science;5544;17629;23173;362;1019;1381;5906;18648;24554
WT 2022/23;SF148;Social Sciences;7851;11364;19215;953;1682;2635;8804;13046;21850
WT 2022/23;SF149;Sociology;5852;11183;17035;651;1505;2156;6503;12688;19191
WT 2022/23;SF150;Spanish;951;2663;3614;193;626;819;1144;3289;4433
WT 2022/23;SF166;Sports Management/Sports Economics;7546;2842;10388;577;160;737;8123;3002;11125
WT 2022/23;SF098;Sports Education/Sports Psychology;5615;3681;9296;179;92;271;5794;3773;9567
WT 2022/23;SF029;Sports Science;12108;7649;19757;856;597;1453;12964;8246;21210
WT 2022/23;SF151;Speech Therapy/Logopedics (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2022/23;SF429;Steel Construction;47;3;50;3;1;4;50;4;54
WT 2022/23;SF312;Statistics;2024;1071;3095;1109;664;1773;3133;1735;4868
WT 2022/23;SF196;Foundation Course;-;-;-;-;-;-;-;-;-
WT 2022/23;SF153;South Slavic (Bulgar., Serbo-Croat., Slovene etc.);3;4;7;1;1;2;4;5;9
WT 2022/23;SF106;Dance Education;30;121;151;63;150;213;93;271;364
WT 2022/23;SF144;Technical Cybernetics;266;74;340;38;15;53;304;89;393
WT 2022/23;SF118;Technomathematics;1698;510;2208;374;167;541;2072;677;2749
WT 2022/23;SF116;Textile Design;593;2078;2671;89;401;490;682;2479;3161
WT 2022/23;SF225;Textile and Clothing Technology/Industry;435;1521;1956;261;247;508;696;1768;2464
WT 2022/23;SF155;Theatre Studies;689;1964;2653;86;266;352;775;2230;3005
WT 2022/23;SF156;Veterinary Medicine;980;6261;7241;153;547;700;1133;6808;7941
WT 2022/23;SF371;Animal Production;73;188;261;19;17;36;92;205;297
WT 2022/23;SF194;Sound Engineering;371;62;433;80;17;97;451;79;530
WT 2022/23;SF274;Tourism Management;1975;6460;8435;452;888;1340;2427;7348;9775
WT 2022/23;SF074;Transport and Conveying Technology;258;29;287;25;9;34;283;38;321
WT 2022/23;SF209;Czech;7;16;23;3;13;16;10;29;39
WT 2022/23;SF158;Turkish Studies;58;209;267;46;88;134;104;297;401
WT 2022/23;SF458;Environmental Protection;802;949;1751;561;443;1004;1363;1392;2755
WT 2022/23;SF457;Environmental Technology (including Recycling);3821;2414;6235;799;674;1473;4620;3088;7708
WT 2022/23;SF548;Prehistory and Early History;414;480;894;31;52;83;445;532;977
WT 2022/23;SF226;Process Engineering;4346;2673;7019;1171;979;2150;5517;3652;9169
WT 2022/23;SF170;Ed.of P.w.Behav.Disorders (cl.w. SF190 since 2016);-;-;-;-;-;-;-;-;-
WT 2022/23;SF089;Transport Engineering;2912;786;3698;913;283;1196;3825;1069;4894
WT 2022/23;SF268;Transportation Systems;-;-;-;-;-;-;-;-;-
WT 2022/23;SF210;Transport Economics;886;360;1246;232;163;395;1118;523;1641
WT 2022/23;SF171;Surveying (Geodesy);2873;1184;4057;801;408;1209;3674;1592;5266
WT 2022/23;SF213;Supply Technology;2389;427;2816;322;88;410;2711;515;3226
WT 2022/23;SF172;Administrative Science/Public Administration;7636;11270;18906;345;347;692;7981;11617;19598
WT 2022/23;SF174;Folklore;241;676;917;28;118;146;269;794;1063
WT 2022/23;SF175;Economics;10556;4639;15195;2743;2798;5541;13299;7437;20736
WT 2022/23;SF094;Hydraulic Engineering;536;390;926;201;171;372;737;561;1298
WT 2022/23;SF077;Water Management;453;289;742;355;207;562;808;496;1304
WT 2022/23;SF227;Viticulture and Oenology;613;355;968;116;124;240;729;479;1208
WT 2022/23;SF201;Handicrafts (technical)/Technology;162;260;422;4;22;26;166;282;448
WT 2022/23;SF176;Handicrafts Education;40;82;122;1;1;2;41;83;124
WT 2022/23;SF177;Materials Technology;2191;797;2988;1238;578;1816;3429;1375;4804
WT 2022/23;SF130;Western Slavic (general and n.e.c.);12;16;28;4;4;8;16;20;36
WT 2022/23;SF178;Economic/Social Geography;232;237;469;5;16;21;237;253;490
WT 2022/23;SF183;Economic/Social History;98;69;167;16;41;57;114;110;224
WT 2022/23;SF277;Business Informatics;45471;10631;56102;6315;3715;10030;51786;14346;66132
WT 2022/23;SF370;Business Engineering spec. in Engineering Sciences;39537;10442;49979;9361;3945;13306;48898;14387;63285
WT 2022/23;SF179;Business Engineering specialising in Economics;19377;6227;25604;2800;1376;4176;22177;7603;29780
WT 2022/23;SF276;Business Mathematics;3034;1867;4901;559;698;1257;3593;2565;6158
WT 2022/23;SF181;Business and Economics Education;2436;3722;6158;76;227;303;2512;3949;6461
WT 2022/23;SF042;Business Law;7899;11922;19821;641;1258;1899;8540;13180;21720
WT 2022/23;SF184;Business and Economics;41654;32705;74359;6252;7146;13398;47906;39851;87757
WT 2022/23;SF275;History of Science/History of Technology;22;9;31;2;-;2;24;9;33
WT 2022/23;SF185;Dentistry;4193;9151;13344;1025;1305;2330;5218;10456;15674
WT 2022/23;SF269;Customs and Tax Administration;3348;3990;7338;15;32;47;3363;4022;7385
__________
© Federal Statistical Office, Wiesbaden 2023
created: 2024-04-25 / 01:11:22
